Age,Gender,Location,Income,Debt,Owns Home,Profession,Demographics,Platform,Total Time Spent,Video Category,Owns Car
59,Male,United States,90968,TRUE,FALSE,Teacher,Rural,Facebook,66,Life Hacks,FALSE
21,Other,India,40644,FALSE,FALSE,Teacher,Rural,TikTok,220,Life Hacks,FALSE
46,Other,India,38745,FALSE,TRUE,Cashier,Rural,YouTube,277,Gaming,TRUE
35,Male,Mexico,48228,FALSE,FALSE,Students,Rural,Facebook,219,Trends,FALSE
43,Male,Vietnam,54521,TRUE,FALSE,Artist,Rural,Instagram,26,Life Hacks,FALSE
61,Female,Mexico,46928,FALSE,FALSE,Students,Rural,YouTube,295,Gaming,FALSE
51,Female,Vietnam,38322,FALSE,FALSE,Students,Rural,Facebook,212,Pranks,FALSE
27,Male,Indonesia,77714,TRUE,TRUE,Labor/Worker,Urban,Instagram,108,Life Hacks,TRUE
53,Male,Vietnam,82292,TRUE,FALSE,Engineer,Rural,Facebook,288,Comedy,FALSE
31,Female,Germany,49055,FALSE,TRUE,Waiting staff,Urban,YouTube,218,Jokes/Memes,TRUE
48,Other,Philippines,62891,TRUE,FALSE,driver,Rural,YouTube,138,Jokes/Memes,FALSE
32,Male,United States,26588,FALSE,TRUE,Labor/Worker,Rural,YouTube,297,Jokes/Memes,TRUE
25,Female,India,26304,FALSE,FALSE,driver,Rural,TikTok,261,Pranks,FALSE
31,Male,India,27345,FALSE,TRUE,Labor/Worker,Rural,Facebook,274,Life Hacks,TRUE
40,Other,Japan,49300,FALSE,FALSE,Labor/Worker,Rural,TikTok,280,Vlogs,FALSE
57,Male,United States,44259,FALSE,TRUE,driver,Rural,YouTube,197,Jokes/Memes,TRUE
38,Male,United States,35352,FALSE,FALSE,driver,Rural,Instagram,223,Gaming,FALSE
33,Male,Pakistan,53365,TRUE,TRUE,Labor/Worker,Urban,Facebook,292,Jokes/Memes,TRUE
62,Male,Philippines,39446,FALSE,FALSE,Students,Rural,TikTok,220,Pranks,FALSE
35,Male,India,22336,FALSE,TRUE,Waiting staff,Urban,Facebook,85,Entertainment,TRUE
64,Male,Barzil,82032,TRUE,FALSE,Labor/Worker,Urban,Instagram,157,Jokes/Memes,FALSE
41,Other,India,95415,TRUE,TRUE,Waiting staff,Rural,TikTok,222,Life Hacks,TRUE
43,Female,Indonesia,27521,FALSE,FALSE,Engineer,Rural,YouTube,118,Trends,FALSE
42,Other,United States,91707,TRUE,TRUE,Manager,Rural,TikTok,138,Life Hacks,TRUE
62,Female,United States,43481,FALSE,FALSE,Students,Rural,Facebook,19,Jokes/Memes,FALSE
58,Female,Germany,38474,FALSE,TRUE,Waiting staff,Rural,Facebook,56,Jokes/Memes,TRUE
46,Male,United States,66760,TRUE,FALSE,Waiting staff,Rural,Facebook,105,Jokes/Memes,FALSE
32,Male,India,75718,TRUE,TRUE,Students,Rural,Facebook,112,Jokes/Memes,TRUE
62,Female,India,64629,TRUE,FALSE,Students,Rural,YouTube,155,Trends,FALSE
18,Male,India,65232,TRUE,TRUE,driver,Rural,TikTok,36,Vlogs,TRUE
42,Other,Vietnam,87169,TRUE,TRUE,Manager,Rural,YouTube,229,Life Hacks,TRUE
24,Other,Pakistan,70669,TRUE,TRUE,Students,Rural,YouTube,27,Jokes/Memes,TRUE
26,Male,United States,98021,TRUE,TRUE,Students,Urban,YouTube,176,ASMR,TRUE
41,Female,United States,89184,TRUE,FALSE,Waiting staff,Urban,Facebook,91,Jokes/Memes,FALSE
18,Male,India,67945,TRUE,TRUE,Engineer,Rural,Facebook,81,ASMR,TRUE
61,Female,Mexico,33140,FALSE,FALSE,Waiting staff,Urban,Facebook,263,Pranks,FALSE
25,Male,Germany,34357,FALSE,FALSE,Engineer,Rural,TikTok,171,Vlogs,FALSE
41,Male,Germany,88673,TRUE,FALSE,Waiting staff,Rural,Instagram,47,Jokes/Memes,FALSE
28,Male,India,85633,TRUE,FALSE,Engineer,Urban,Facebook,210,Jokes/Memes,FALSE
34,Female,Japan,96943,TRUE,FALSE,Engineer,Rural,TikTok,209,Gaming,FALSE
25,Female,India,98258,TRUE,TRUE,driver,Urban,Facebook,264,Gaming,TRUE
52,Male,Philippines,32924,FALSE,FALSE,Labor/Worker,Rural,Facebook,188,Comedy,FALSE
52,Female,Japan,89286,TRUE,FALSE,Labor/Worker,Urban,YouTube,44,Jokes/Memes,FALSE
50,Male,Barzil,94071,TRUE,TRUE,Waiting staff,Rural,YouTube,91,Pranks,TRUE
22,Male,Mexico,77326,TRUE,TRUE,Artist,Rural,YouTube,229,Gaming,TRUE
59,Male,Germany,50651,TRUE,TRUE,Labor/Worker,Rural,TikTok,167,Jokes/Memes,TRUE
56,Female,India,90202,TRUE,FALSE,Waiting staff,Rural,Instagram,13,Jokes/Memes,FALSE
58,Female,Barzil,68777,TRUE,FALSE,Labor/Worker,Rural,Instagram,176,Pranks,FALSE
45,Female,Vietnam,36994,FALSE,FALSE,Labor/Worker,Rural,TikTok,213,Jokes/Memes,FALSE
24,Male,Indonesia,87263,TRUE,TRUE,Teacher,Rural,Facebook,203,Jokes/Memes,TRUE
26,Male,United States,79634,TRUE,FALSE,Students,Rural,TikTok,244,Entertainment,FALSE
25,Male,Barzil,30800,FALSE,FALSE,Students,Urban,Facebook,215,Life Hacks,FALSE
29,Female,Philippines,57823,TRUE,FALSE,Cashier,Rural,TikTok,159,Entertainment,FALSE
51,Male,United States,83878,TRUE,FALSE,driver,Rural,TikTok,168,Life Hacks,FALSE
50,Other,India,38708,FALSE,TRUE,Labor/Worker,Rural,TikTok,288,Life Hacks,TRUE
40,Female,Pakistan,32819,FALSE,FALSE,Engineer,Rural,Instagram,175,Gaming,FALSE
41,Other,Vietnam,94905,TRUE,TRUE,Labor/Worker,Rural,YouTube,77,Life Hacks,TRUE
54,Other,Barzil,83870,TRUE,FALSE,Labor/Worker,Rural,TikTok,97,Gaming,FALSE
52,Female,Mexico,29283,FALSE,TRUE,Artist,Urban,Instagram,226,Trends,TRUE
61,Other,India,50573,TRUE,FALSE,Waiting staff,Rural,YouTube,10,Comedy,FALSE
57,Male,United States,98707,TRUE,TRUE,driver,Rural,YouTube,144,ASMR,TRUE
39,Female,India,50933,TRUE,FALSE,driver,Rural,TikTok,194,Gaming,FALSE
44,Female,Barzil,25774,FALSE,TRUE,Cashier,Rural,Facebook,149,Pranks,TRUE
52,Male,Mexico,92055,TRUE,FALSE,Labor/Worker,Rural,Facebook,115,Pranks,FALSE
18,Other,Philippines,30983,FALSE,TRUE,Waiting staff,Rural,Facebook,142,Vlogs,TRUE
52,Female,Indonesia,38133,FALSE,FALSE,Students,Urban,TikTok,117,Jokes/Memes,FALSE
54,Male,United States,34939,FALSE,TRUE,driver,Urban,Facebook,187,Vlogs,TRUE
64,Male,Indonesia,20781,FALSE,FALSE,Artist,Rural,Instagram,155,Life Hacks,FALSE
31,Female,India,76700,TRUE,TRUE,Waiting staff,Rural,Instagram,83,ASMR,TRUE
20,Male,India,47624,FALSE,FALSE,Students,Rural,Instagram,117,Vlogs,FALSE
18,Female,Barzil,26823,FALSE,TRUE,driver,Rural,Instagram,131,Entertainment,TRUE
22,Female,Barzil,38489,FALSE,FALSE,Manager,Rural,YouTube,26,Life Hacks,FALSE
43,Female,Pakistan,59961,TRUE,TRUE,Cashier,Rural,Instagram,205,Trends,TRUE
31,Female,Germany,49118,FALSE,FALSE,Labor/Worker,Rural,Facebook,261,Entertainment,FALSE
56,Male,Pakistan,42263,FALSE,TRUE,Students,Rural,TikTok,128,Life Hacks,TRUE
44,Male,India,33565,FALSE,FALSE,Students,Rural,Facebook,171,Life Hacks,FALSE
26,Female,India,40354,FALSE,TRUE,Students,Rural,Instagram,207,Jokes/Memes,TRUE
32,Male,India,62951,TRUE,TRUE,Engineer,Urban,YouTube,54,Gaming,TRUE
32,Female,Pakistan,43648,FALSE,TRUE,Engineer,Rural,Instagram,188,Life Hacks,TRUE
43,Female,Mexico,70729,TRUE,TRUE,Engineer,Urban,TikTok,53,Pranks,TRUE
59,Male,Mexico,61971,TRUE,FALSE,Waiting staff,Rural,Facebook,280,Life Hacks,FALSE
30,Other,India,38658,FALSE,TRUE,Engineer,Rural,TikTok,87,Life Hacks,TRUE
49,Male,Vietnam,41253,FALSE,FALSE,Waiting staff,Rural,TikTok,187,Life Hacks,FALSE
56,Male,Germany,84166,TRUE,FALSE,Labor/Worker,Urban,TikTok,12,Jokes/Memes,FALSE
49,Other,Mexico,68563,TRUE,FALSE,Engineer,Rural,Facebook,223,Vlogs,FALSE
21,Male,Japan,46390,FALSE,FALSE,Cashier,Rural,Instagram,83,Trends,FALSE
47,Other,United States,71578,TRUE,FALSE,Artist,Urban,TikTok,60,Entertainment,FALSE
54,Male,India,99025,TRUE,TRUE,driver,Rural,Facebook,76,Gaming,TRUE
40,Male,India,52658,TRUE,FALSE,Students,Rural,YouTube,102,Life Hacks,FALSE
56,Other,India,26852,FALSE,FALSE,Waiting staff,Urban,Facebook,185,Trends,FALSE
62,Male,United States,22551,FALSE,TRUE,Students,Urban,YouTube,154,Entertainment,TRUE
32,Male,United States,91947,TRUE,TRUE,Students,Urban,Facebook,16,Vlogs,TRUE
60,Female,Japan,81001,TRUE,TRUE,Students,Rural,Instagram,278,Pranks,TRUE
46,Other,Pakistan,69159,TRUE,FALSE,driver,Rural,TikTok,13,Pranks,FALSE
53,Female,Vietnam,71707,TRUE,FALSE,Manager,Rural,Instagram,147,Jokes/Memes,FALSE
30,Other,India,53243,TRUE,FALSE,Students,Rural,Facebook,240,Jokes/Memes,FALSE
49,Male,India,41800,FALSE,TRUE,Waiting staff,Rural,TikTok,97,Life Hacks,TRUE
24,Male,Indonesia,95939,TRUE,FALSE,Labor/Worker,Urban,YouTube,26,Trends,FALSE
39,Other,Japan,77828,TRUE,FALSE,Students,Rural,Facebook,61,Gaming,FALSE
45,Male,India,27239,FALSE,FALSE,Manager,Rural,TikTok,143,Entertainment,FALSE
19,Male,Japan,26710,FALSE,FALSE,Cashier,Urban,YouTube,220,Jokes/Memes,FALSE
59,Male,Japan,41384,FALSE,TRUE,Engineer,Urban,YouTube,228,Entertainment,TRUE
62,Male,Philippines,41038,FALSE,FALSE,Labor/Worker,Rural,Instagram,214,Gaming,FALSE
23,Male,Japan,60846,TRUE,TRUE,Students,Urban,Facebook,220,Gaming,TRUE
45,Female,United States,87821,TRUE,FALSE,Waiting staff,Rural,YouTube,286,Trends,FALSE
45,Female,Philippines,57991,TRUE,TRUE,Labor/Worker,Rural,TikTok,33,Trends,TRUE
61,Male,Japan,99057,TRUE,FALSE,driver,Rural,YouTube,13,Life Hacks,FALSE
61,Male,Germany,26971,FALSE,TRUE,Students,Rural,YouTube,161,Jokes/Memes,TRUE
37,Female,United States,49139,FALSE,FALSE,Cashier,Rural,Instagram,268,Entertainment,FALSE
47,Male,India,97067,TRUE,TRUE,Cashier,Rural,Instagram,177,Gaming,TRUE
28,Male,Philippines,57711,TRUE,FALSE,Students,Urban,TikTok,185,ASMR,FALSE
45,Female,Indonesia,26530,FALSE,TRUE,Teacher,Urban,Instagram,65,Life Hacks,TRUE
42,Male,United States,31116,FALSE,FALSE,Waiting staff,Rural,YouTube,117,ASMR,FALSE
56,Female,Indonesia,85794,TRUE,TRUE,Labor/Worker,Rural,YouTube,150,Trends,TRUE
50,Male,India,20282,FALSE,FALSE,driver,Urban,Instagram,164,Trends,FALSE
18,Other,Indonesia,99473,TRUE,TRUE,Waiting staff,Urban,YouTube,271,Vlogs,TRUE
44,Female,India,21898,FALSE,FALSE,Engineer,Rural,YouTube,282,Life Hacks,FALSE
30,Female,India,24135,FALSE,TRUE,driver,Rural,TikTok,241,Life Hacks,TRUE
58,Male,Philippines,26629,FALSE,FALSE,Labor/Worker,Rural,Instagram,250,Jokes/Memes,FALSE
20,Female,Japan,85031,TRUE,TRUE,Cashier,Rural,YouTube,267,ASMR,TRUE
56,Male,Barzil,53380,TRUE,FALSE,Labor/Worker,Rural,Instagram,258,Pranks,FALSE
23,Male,India,37071,FALSE,TRUE,Labor/Worker,Urban,TikTok,86,Jokes/Memes,TRUE
25,Male,Philippines,40074,FALSE,FALSE,Artist,Rural,Instagram,189,Entertainment,FALSE
44,Male,Germany,87843,TRUE,TRUE,Waiting staff,Urban,YouTube,75,Life Hacks,TRUE
26,Female,India,59901,TRUE,TRUE,driver,Rural,Instagram,180,Entertainment,TRUE
54,Male,Mexico,31205,FALSE,TRUE,Teacher,Rural,YouTube,31,Pranks,TRUE
50,Male,Indonesia,75661,TRUE,TRUE,Engineer,Rural,YouTube,116,Entertainment,TRUE
59,Other,Barzil,25906,FALSE,FALSE,driver,Rural,YouTube,236,Life Hacks,FALSE
61,Male,Japan,22591,FALSE,TRUE,Waiting staff,Urban,TikTok,225,Jokes/Memes,TRUE
41,Female,United States,82987,TRUE,TRUE,Labor/Worker,Rural,Instagram,78,Vlogs,TRUE
32,Other,India,83370,TRUE,TRUE,Teacher,Urban,TikTok,93,Trends,TRUE
49,Male,Vietnam,74400,TRUE,FALSE,Waiting staff,Rural,Instagram,112,Life Hacks,FALSE
49,Male,Pakistan,45150,FALSE,TRUE,Waiting staff,Rural,TikTok,48,Jokes/Memes,TRUE
41,Male,Barzil,51852,TRUE,FALSE,Manager,Urban,Facebook,22,Gaming,FALSE
58,Male,United States,62870,TRUE,FALSE,Artist,Rural,YouTube,190,Pranks,FALSE
29,Male,India,72756,TRUE,FALSE,Students,Rural,YouTube,277,Entertainment,FALSE
56,Other,Vietnam,76481,TRUE,FALSE,Labor/Worker,Rural,TikTok,22,Pranks,FALSE
19,Female,Philippines,21283,FALSE,FALSE,driver,Rural,Facebook,129,Jokes/Memes,FALSE
20,Female,Japan,53691,TRUE,TRUE,Labor/Worker,Rural,YouTube,66,Trends,TRUE
54,Female,India,21125,FALSE,FALSE,Artist,Rural,Instagram,49,Gaming,FALSE
34,Male,India,87065,TRUE,FALSE,Students,Rural,TikTok,137,Trends,FALSE
19,Male,India,46170,FALSE,TRUE,Engineer,Urban,YouTube,182,Gaming,TRUE
19,Male,India,28438,FALSE,TRUE,Waiting staff,Rural,YouTube,44,Life Hacks,TRUE
45,Female,Vietnam,40095,FALSE,TRUE,Waiting staff,Rural,TikTok,268,Comedy,TRUE
40,Male,Indonesia,36154,FALSE,FALSE,driver,Rural,TikTok,14,Entertainment,FALSE
54,Male,Pakistan,28004,FALSE,FALSE,driver,Rural,Instagram,227,Entertainment,FALSE
49,Female,Germany,29752,FALSE,FALSE,Students,Rural,Instagram,20,Gaming,FALSE
50,Other,India,75426,TRUE,TRUE,Manager,Rural,YouTube,126,Vlogs,TRUE
18,Other,Mexico,46819,FALSE,FALSE,Waiting staff,Urban,YouTube,193,Trends,FALSE
36,Female,Pakistan,44217,FALSE,FALSE,Labor/Worker,Rural,TikTok,125,Life Hacks,FALSE
19,Male,India,52994,TRUE,FALSE,Students,Rural,YouTube,171,Jokes/Memes,FALSE
61,Male,Japan,35036,FALSE,FALSE,Artist,Rural,YouTube,76,Entertainment,FALSE
43,Male,India,97275,TRUE,TRUE,Engineer,Rural,TikTok,209,Gaming,TRUE
49,Male,United States,69416,TRUE,FALSE,Waiting staff,Urban,YouTube,40,Life Hacks,FALSE
23,Other,Pakistan,29587,FALSE,TRUE,Manager,Rural,YouTube,84,Comedy,TRUE
49,Male,Mexico,20645,FALSE,FALSE,Manager,Rural,Facebook,246,Pranks,FALSE
21,Male,India,50930,TRUE,TRUE,Students,Urban,Instagram,75,Trends,TRUE
28,Male,Indonesia,50090,TRUE,FALSE,Students,Rural,TikTok,79,Life Hacks,FALSE
34,Other,Vietnam,72142,TRUE,TRUE,Waiting staff,Rural,Facebook,29,Vlogs,TRUE
55,Other,United States,46475,FALSE,FALSE,Students,Rural,Instagram,235,ASMR,FALSE
41,Male,Philippines,38888,FALSE,TRUE,Labor/Worker,Rural,Instagram,208,Life Hacks,TRUE
22,Male,Pakistan,63732,TRUE,FALSE,Manager,Rural,Instagram,48,Pranks,FALSE
51,Male,Japan,66305,TRUE,TRUE,Engineer,Rural,Facebook,154,Entertainment,TRUE
23,Male,Vietnam,66037,TRUE,FALSE,Engineer,Rural,Facebook,54,Trends,FALSE
39,Other,United States,29346,FALSE,TRUE,Manager,Rural,Instagram,100,Gaming,TRUE
28,Male,India,20587,FALSE,FALSE,Labor/Worker,Rural,YouTube,247,Life Hacks,FALSE
33,Female,United States,32763,FALSE,TRUE,Students,Rural,YouTube,79,Pranks,TRUE
50,Male,Vietnam,79165,TRUE,FALSE,Cashier,Rural,Facebook,175,Life Hacks,FALSE
26,Other,United States,89615,TRUE,TRUE,Students,Urban,Facebook,139,Life Hacks,TRUE
23,Male,Germany,56116,TRUE,FALSE,Waiting staff,Urban,Facebook,223,ASMR,FALSE
33,Female,Barzil,45556,FALSE,TRUE,driver,Urban,Instagram,98,Trends,TRUE
46,Female,Indonesia,79042,TRUE,FALSE,Students,Urban,YouTube,261,Life Hacks,FALSE
20,Other,India,38099,FALSE,TRUE,Teacher,Rural,Facebook,81,Jokes/Memes,TRUE
37,Female,Vietnam,65096,TRUE,FALSE,Artist,Rural,Facebook,174,Trends,FALSE
53,Male,Germany,91986,TRUE,TRUE,Students,Rural,TikTok,58,Jokes/Memes,TRUE
36,Female,Germany,33230,FALSE,TRUE,Waiting staff,Rural,Instagram,61,Jokes/Memes,TRUE
43,Other,Philippines,49009,FALSE,TRUE,Waiting staff,Rural,TikTok,298,Life Hacks,TRUE
20,Other,United States,90969,TRUE,TRUE,Cashier,Rural,YouTube,287,Life Hacks,TRUE
36,Male,Barzil,53866,TRUE,FALSE,driver,Rural,TikTok,123,Life Hacks,FALSE
37,Female,Germany,96975,TRUE,TRUE,driver,Rural,TikTok,248,ASMR,TRUE
49,Male,Barzil,61855,TRUE,FALSE,Waiting staff,Urban,TikTok,142,Jokes/Memes,FALSE
24,Male,United States,26416,FALSE,FALSE,driver,Rural,Instagram,283,Life Hacks,FALSE
58,Male,Vietnam,92516,TRUE,FALSE,Students,Rural,YouTube,175,Jokes/Memes,FALSE
50,Female,Japan,75915,TRUE,FALSE,Students,Rural,TikTok,252,Life Hacks,FALSE
57,Female,United States,38058,FALSE,FALSE,Students,Rural,Instagram,147,Jokes/Memes,FALSE
56,Male,Germany,96637,TRUE,TRUE,Labor/Worker,Rural,YouTube,88,Trends,TRUE
35,Other,India,60718,TRUE,FALSE,Waiting staff,Urban,Facebook,179,Gaming,FALSE
57,Female,United States,52602,TRUE,FALSE,driver,Rural,TikTok,132,Entertainment,FALSE
18,Female,United States,94658,TRUE,TRUE,Engineer,Rural,YouTube,185,Comedy,TRUE
28,Male,Philippines,98112,TRUE,TRUE,driver,Urban,TikTok,91,Gaming,TRUE
45,Female,Indonesia,78067,TRUE,TRUE,Waiting staff,Rural,Facebook,96,Pranks,TRUE
42,Female,India,47516,FALSE,FALSE,Labor/Worker,Rural,YouTube,234,Vlogs,FALSE
40,Male,India,21089,FALSE,FALSE,Engineer,Rural,Instagram,25,Life Hacks,FALSE
48,Male,Philippines,57346,TRUE,FALSE,Engineer,Rural,YouTube,172,Life Hacks,FALSE
47,Male,United States,94663,TRUE,TRUE,Labor/Worker,Rural,Instagram,107,ASMR,TRUE
59,Male,United States,30487,FALSE,FALSE,Waiting staff,Urban,YouTube,165,Pranks,FALSE
52,Male,United States,20155,FALSE,FALSE,Artist,Rural,Instagram,11,Entertainment,FALSE
24,Male,Germany,87494,TRUE,FALSE,Students,Rural,Facebook,178,Pranks,FALSE
33,Other,Philippines,96229,TRUE,FALSE,driver,Rural,Facebook,101,Life Hacks,FALSE
43,Male,Vietnam,58547,TRUE,TRUE,Labor/Worker,Rural,Facebook,190,Entertainment,TRUE
19,Male,India,48795,FALSE,FALSE,Students,Urban,YouTube,240,Vlogs,FALSE
18,Male,Mexico,75296,TRUE,TRUE,driver,Rural,Facebook,157,Pranks,TRUE
29,Male,Pakistan,41447,FALSE,FALSE,driver,Rural,TikTok,289,Jokes/Memes,FALSE
22,Male,United States,56598,TRUE,TRUE,Artist,Urban,Facebook,198,Vlogs,TRUE
54,Female,India,61814,TRUE,FALSE,Waiting staff,Urban,Instagram,137,Pranks,FALSE
49,Female,India,95330,TRUE,TRUE,driver,Rural,Instagram,16,Comedy,TRUE
26,Male,India,83278,TRUE,FALSE,Labor/Worker,Rural,Instagram,56,ASMR,FALSE
58,Other,Philippines,75077,TRUE,TRUE,driver,Rural,YouTube,62,Gaming,TRUE
52,Other,United States,91906,TRUE,FALSE,Waiting staff,Rural,TikTok,196,Pranks,FALSE
36,Male,Pakistan,29528,FALSE,TRUE,Waiting staff,Rural,Facebook,47,Comedy,TRUE
33,Female,Japan,70100,TRUE,FALSE,Labor/Worker,Rural,TikTok,235,Jokes/Memes,FALSE
20,Female,Germany,28179,FALSE,TRUE,driver,Rural,TikTok,62,Pranks,TRUE
37,Male,Barzil,68781,TRUE,TRUE,Engineer,Rural,Instagram,233,Trends,TRUE
41,Other,Vietnam,75267,TRUE,TRUE,Labor/Worker,Rural,Instagram,163,Vlogs,TRUE
50,Male,Pakistan,43952,FALSE,TRUE,Teacher,Rural,Instagram,57,Gaming,TRUE
41,Other,Barzil,73798,TRUE,TRUE,Cashier,Rural,YouTube,156,Vlogs,TRUE
28,Female,Philippines,70939,TRUE,TRUE,Waiting staff,Rural,TikTok,73,Pranks,TRUE
